"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"Estúdio AMATAM";"Rua do Regil 1A, Almada, Portugal";"+351 212740536";"http://www.estudioamatam.com/";"Almada";"Manuela Tamborino and João Escaleira Amaral are two young architects who decided to join skills, in order to embrace new challenges in various areas of Architecture and Urbanism range, whose visible result translates into the creation of the estúdio AMATAM, and Coletivo Urbano. These two structures allow them to operate in different scenarios, from Design, Architecture and Urbanism, both formal and informal strategies in different countries. The search for innovative solutions punctuated with creative approaches that brings architecture closer to an art form, together with customer satisfaction, are vectors that guide the focus of this team. The experience gained in various national and international offices, along with collaboration with other architects on specific assignments allows them to ensure excellence and professionalism in all involved projects. João Escaleira Amaral obtained a degree in architecture in 2006 from the Lisbon University School of Architecture and attended the University La Sapienza in Rome during 2004 with merit classification. In 2011 completes the Master of Advanced Studies in Urban Design at the Swiss Federal Institute Technology (ETH) in Zurich, for which he received a scholarship from the Foundation for Architecture Geisendorf. Collaborated professionally with the offices Intergaup and Artestável in Portugal, and SVP – Architectuur en Stedenbouw in Holland. In 2011 starts estúdio AMATAM. Manuela Tamborino graduated in Architecture from the Lisbon University School of Architecture in 2006 and obtained the degree of Master of Advanced Studies in Urban Design at the Swiss Federal Institute Technology (ETH) in 2011, for which she received a scholarship from the Swiss Federal Government. Worked at the office of architecture Saraiva+Associados until 2010. In 2011 starts estúdio AMATAM.";"Casa Pinhal Conde da House: https://archello.com/project/casa-pinhal-conde-da-house | Cacilhas Apartment: https://archello.com/project/cacilhas-apartment | Casa Quinta do Desembargador: https://archello.com/project/casa-quinta-do-desembargador | Saramagal House: https://archello.com/project/saramagal-house | Apartamento capitães de abril: https://archello.com/project/apartamento-capitaes-de-abril | IMPULSE Braga: https://archello.com/project/impulse-braga | KRUSH-IT Coimbra: https://archello.com/project/krush-it-coimbra | Village Fitness Gym: https://archello.com/project/village-fitness-gym-2";"Archello";"https://archello.com/brand/estudio-amatam";"Almada";"2025-11-02T14:44:45.527392"
"Anarchlab, Architecture Laboratory";"R. do Almada, 152 4º andar, sala 1 4050-031 Porto, Portugal";"";"http://www.anarchlab.pt/";"Almada";"Company based in Oporto and Lisbon. Founded in 2013 and led by the architects Pedro Ribeiro da Silva and Pedro Barata. Each Anarchlab project is driven by a storytelling that adds small inventions to the world.";"Teresinha Carteiras Bolhão: https://archello.com/project/teresinha-carteiras-bolhao | Edifício Fábrica das Devesas: https://archello.com/project/edificio-fabrica-das-devesas";"Archello";"https://archello.com/brand/anarchlab-architecture-laboratory";"Almada";"2025-11-02T14:44:59.599621"
"ARQ TAILOR'S";"CHIADO - Rua Nova do Almada 95, 4ºD 1200-228 Lisboa, Portugal";"";"http://arqtailors.pt/";"Almada";"It is in Lisbon’s prestigious Bairro do Chiado that ARQ TAILOR’S develops its Architecture and Interior Design projects. In a sober and creative style, the tailor made projects signed by ARQ TAILOR´S stand out for their elegance in a unique and timeless style, creating functional and comfortable spaces aligned with the specific needs of individual clients. With a joyful and young team, the studio is known for the subtle blend of refinement and modernity in its projects, designed for both residential and commercial spaces for Portuguese and foreign clients. ARQ TAILOR´S also provides Landscaping and consultancy services in Arts and Antiques, offering its clients a wide range of very exclusive services.";"Sea Front Villa: https://archello.com/project/sea-front-villa | WINE DISTRICT: https://archello.com/project/wine-district";"Archello";"https://archello.com/brand/arq-tailors";"Almada";"2025-11-02T14:45:18.189690"
