company_name;municipality;address;specialization;legal_name;general_summary;data_source;phone;contact_email;website;portfolio_url;year_founded;tax_id
"Plan Ki Architecture And Space Consultant, Lda";"Lisbon";"R SOFIA DE CAVALHO 18A, 1495-121, UNIÃO DAS FREGUESIAS DE ALGES, UNIAO FREGUESIAS ALGES LINDA A VELHA CRUZ QUEBRADA DAFUNDO OEIRAS, LISBOA";"Atividades de arquitectura";"Plan Ki Architecture And Space Consultant, Lda";"Dados empresariais da Plan Ki Architecture And Space Consultant, Lda. A sociedade Plan Ki Architecture And Space Consultant, Lda está registada como uma LDA. A empresa tem já 22 anos desde a data da sua fundação. A empresa centra as suas atividades no sector de Atividades de arquitectura. O dia 04 de julho de 2025 é a última atualização dos dados empresariais que temos em Empresite. Para ir à sede da empresa localizada na cidade de UNIAO FREGUESIAS ALGES LINDA A VELHA CRUZ QUEBRADA DAFUNDO OEIRAS, pode fazê-lo no endereço R SOFIA DE CAVALHO 18A, 1495-121, UNIÃO DAS FREGUESIAS DE ALGES. Este endereço pertence ao distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Miguel Câncio Martins - Architecture & Design, Lda";"Lisbon";"R BRAAMCAMP 88 3ºDTO., 1250-052, SANTO ANTONIO LISBOA, LISBOA";"Atividades de arquitectura";"Miguel Câncio Martins - Architecture & Design, Lda";"Resumo da informação empresarial da Miguel Câncio Martins - Architecture & Design, Lda. Miguel Câncio Martins - Architecture & Design, Lda é uma empresa inscrita na conservatória do registo comercial de Portugal sob a forma jurídica de LDA. A experiência empresarial é superior a 10 anos desde a data de constituição da empresa. De acordo com a Classificação Internacional Normalizada Industrial, a atividade desta empresa está focada no desenvolvimento de Atividades de arquitectura. A última atualização da Miguel Câncio Martins - Architecture & Design, Lda é do dia 25 de setembro de 2025. O endereço desta empresa de SANTO ANTONIO LISBOA é R BRAAMCAMP 88 3ºDTO., 1250-052. O distrito a que pertence é LISBOA.";"Empresite";"";"";"";"";"";""
"Sara Mendes De Almeida - Architecture & Interior Design, Lda";"Lisbon";"R DA EMENDA 58 2º, 1200-170, MISERICORDIA LISBOA, LISBOA";"Atividades de arquitectura";"Sara Mendes De Almeida - Architecture & Interior Design, Lda";"Dados empresariais da Sara Mendes De Almeida - Architecture & Interior Design, Lda. A sociedade Sara Mendes De Almeida - Architecture & Interior Design, Lda está registada como uma LDA. A empresa tem já 9 anos desde a data da sua fundação. A empresa centra as suas atividades no sector de Atividades de arquitectura. O dia 17 de julho de 2025 é a última atualização dos dados empresariais que temos em Empresite. Para ir à sede da empresa localizada na cidade de MISERICORDIA LISBOA, pode fazê-lo no endereço R DA EMENDA 58 2º, 1200-170. Este endereço pertence ao distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Global Solid - Architecture And Space Consulting, Lda";"Lisbon";"AV 5 DE OUTUBRO 102 R/C, 1050-060, AVENIDAS NOVAS LISBOA, LISBOA";"Atividades de arquitectura";"Global Solid - Architecture And Space Consulting, Lda";"Mais informação sobre a empresa Global Solid - Architecture And Space Consulting, Lda. A empresa Global Solid - Architecture And Space Consulting, Lda está registada como uma LDA. Desde a data de fundação, a empresa tem estado a exercer a sua atividade por mais de 9 anos. A empresa está inscrita com o desenvolvimento da atividade pertencente a Atividades de arquitectura. Em Empresite, os últimos dados registados desta sociedade são da data 11 de julho de 2025. Interessa-lhe visitar a sede da empresa? Pode fazê-lo no endereço AV 5 DE OUTUBRO 102 R/C, 1050-060, localizado na cidade AVENIDAS NOVAS LISBOA, no distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Find & Choose - Projects & Architecture, Lda";"Lisbon";"CPO DA VÁRZEA 15 1ºG, 2560-625, SANTA MARIA, SANTA MARIA SAO PEDRO MATACAES TORRES VEDRAS, LISBOA";"Atividades de arquitectura";"Find & Choose - Projects & Architecture, Lda";"Mais informação sobre a empresa Find & Choose - Projects & Architecture, Lda. A empresa Find & Choose - Projects & Architecture, Lda está registada como uma LDA. Desde a data de fundação, a empresa tem estado a exercer a sua atividade por mais de 11 anos. A empresa está inscrita com o desenvolvimento da atividade pertencente a Atividades de arquitectura. Em Empresite, os últimos dados registados desta sociedade são da data 16 de julho de 2025. Interessa-lhe visitar a sede da empresa? Pode fazê-lo no endereço CPO DA VÁRZEA 15 1ºG, 2560-625, SANTA MARIA, localizado na cidade SANTA MARIA SAO PEDRO MATACAES TORRES VEDRAS, no distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Fancyspace - Office Consulting Constructing And Architecture, Unipessoal, Lda";"Lisbon";"R DAS VIGIAS 2 2ºG, 1990-506, PARQUE NACOES LISBOA, LISBOA";"Atividades de arquitectura";"Fancyspace - Office Consulting Constructing And Architecture, Unipessoal, Lda";"Encontre mais informação empresarial da Fancyspace - Office Consulting Constructing And Architecture, Unipessoal, Lda. Fancyspace - Office Consulting Constructing And Architecture, Unipessoal, Lda é uma sociedade registada nos organismos oficiais como UNIP. Desde a data de constituição, esta empresa tem estado a exercer a sua atividade por mais de 9 anos. A principal ocupação da empresa é a atividade CINI relacionada com Atividades de arquitectura. A atualização dos dados empresariais registados em Empresite é da data 31 de julho de 2025. Se precisar de visitar o escritório desta empresa, pode fazê-lo no seguinte endereço R DAS VIGIAS 2 2ºG, 1990-506. Esta localização encontra-se na cidade de PARQUE NACOES LISBOA, cujo distrito é LISBOA.";"Empresite";"";"";"";"";"";""
