company_name;municipality;address;specialization;legal_name;general_summary;data_source;phone;contact_email;website;portfolio_url;year_founded;tax_id
"Storia - Architecture And Interior Design, Lda";"Lisbon";"R FERNÃO DE MAGALHÃES 7 7ºD, 2685-209, UNIAO FREGUESIAS MOSCAVIDE PORTELA LOURES, LISBOA";"Atividades de arquitectura";"Storia - Architecture And Interior Design, Lda";"Informação empresarial da Storia - Architecture And Interior Design, Lda. Na conservatória do registo comercial, a Storia - Architecture And Interior Design, Lda está registada sob a forma jurídica de LDA. A dedicação desta empresa ao sector é superior a 5 anos. Em função dos últimos dados da CINI, a dedicação principal está relacionada com Atividades de arquitectura. O último dado registado da empresa Storia - Architecture And Interior Design, Lda data do dia 11 de julho de 2024. O endereço da empresa é R FERNÃO DE MAGALHÃES 7 7ºD, 2685-209. O endereço localiza-se na cidade de UNIAO FREGUESIAS MOSCAVIDE PORTELA LOURES do distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Sidney Quintela Architecture + Urban Planning, Lda";"Lisbon";"CAI DO GÁS ARMAZÉM H, 1200-109, MISERICORDIA LISBOA, LISBOA";"Atividades de arquitectura";"Sidney Quintela Architecture + Urban Planning, Lda";"Mais informação sobre a empresa Sidney Quintela Architecture + Urban Planning, Lda. A empresa Sidney Quintela Architecture + Urban Planning, Lda está registada como uma LDA. Desde a data de fundação, a empresa tem estado a exercer a sua atividade por mais de 3 anos. A empresa está inscrita com o desenvolvimento da atividade pertencente a Atividades de arquitectura. Em Empresite, os últimos dados registados desta sociedade são da data 25 de setembro de 2025. Interessa-lhe visitar a sede da empresa? Pode fazê-lo no endereço CAI DO GÁS ARMAZÉM H, 1200-109, localizado na cidade MISERICORDIA LISBOA, no distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Paulo Cirne + Architecture For Tomorrow, Lda";"Lisbon";"R TOBIS PORTUGUESA 10 PISO 2 ESCRITÓRIO E, 1750-292, LUMIAR LISBOA, LISBOA";"Atividades de arquitectura";"Paulo Cirne + Architecture For Tomorrow, Lda";"Mais informação sobre a empresa Paulo Cirne + Architecture For Tomorrow, Lda. A empresa Paulo Cirne + Architecture For Tomorrow, Lda está registada como uma LDA. Desde a data de fundação, a empresa tem estado a exercer a sua atividade por mais de 12 anos. A empresa está inscrita com o desenvolvimento da atividade pertencente a Atividades de arquitectura. Em Empresite, os últimos dados registados desta sociedade são da data 24 de julho de 2025. Interessa-lhe visitar a sede da empresa? Pode fazê-lo no endereço R TOBIS PORTUGUESA 10 PISO 2 ESCRITÓRIO E, 1750-292, localizado na cidade LUMIAR LISBOA, no distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Paulo Martins - Architecture & Consulting Solutions, Lda";"Lisbon";"R DOS MORGADOS 9, 2705-054, COLARES SINTRA, LISBOA";"Atividades de arquitectura";"Paulo Martins - Architecture & Consulting Solutions, Lda";"Dados e factos relevantes da empresa Paulo Martins - Architecture & Consulting Solutions, Lda. Nos organismos oficiais de Portugal, a empresa Paulo Martins - Architecture & Consulting Solutions, Lda aparece inscrita como LDA. Desde o início da sua atividade empresarial, esta empresa adquiriu mais de 2 anos de experiência. A atividade CINI centra-se especialmente em Atividades de arquitectura. De acordo com os dados registados, a última data de atualização é do dia 23 de julho de 2025. A empresa encontra-se no endereço R DOS MORGADOS 9, 2705-054. Este endereço fica em COLARES SINTRA, que pertence ao distrito de LISBOA.";"Empresite";"";"";"";"";"";""
"Romano - Interior, Design And Architecture, Lda";"Lisbon";"R NAU DA CATRINETA 14 LOJA A, 1990-186, PARQUE NACOES LISBOA, LISBOA";"Atividades de arquitectura";"Romano - Interior, Design And Architecture, Lda";"Dados e factos relevantes da empresa Romano - Interior, Design And Architecture, Lda. Nos organismos oficiais de Portugal, a empresa Romano - Interior, Design And Architecture, Lda aparece inscrita como LDA. Desde o início da sua atividade empresarial, esta empresa adquiriu mais de 8 anos de experiência. A atividade CINI centra-se especialmente em Atividades de arquitectura. De acordo com os dados registados, a última data de atualização é do dia 16 de outubro de 2025. A empresa encontra-se no endereço R NAU DA CATRINETA 14 LOJA A, 1990-186. Este endereço fica em PARQUE NACOES LISBOA, que pertence ao distrito de LISBOA.";"Empresite";"";"";"";"";"";""
