"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"VHM";"Rua de Júlio Dinis, nº 242, P2, Sala 205, n/a, Portugal";"239 708 790";"http://www.vhm.pt/";"Sintra";"VHM conceives, projects and manages engineering solutions in all construction management areas, studies and projects, currently with about 170 collaborators. The VHM headquarters are located in Oporto and there are delegations in Coimbra and Lisbon, also existing temporary delegations that follow the bigger value construction projects, from Madeira to the Algarve.";"LOTE 1 OFFICE TOWER: https://archello.com/project/lote-1-office-tower";"Archello";"https://archello.com/brand/vhm";"Sintra";"2025-11-01T22:53:39.311484"
"ANEXO";"RUA SOUSA VITERBO 75, 3º, PORTO, Portugal";"+ 351 220 174 554";"http://www.anexo.me/";"Sintra";".ME > CONCEPT [ANEXO = ANNEX, ATTACH, EXTENSION] WHO ADALGISA DE CASTRO LOPES AND CARLA CABRAL BECAME ATTACHED, WITH THE AIM TO DEVELOP / EVOLVE CONCEPTS OF: > TEMPORARY EXTERNAL COLLABORATION WITH ARCHITECTURE OFFICES WITH THE OBJECTIVE TO SUPPORT THE ORGANIZATION AND EXECUTION OF WORK >SOS TEAM OUR EXPERIENCED TEAM IS ABLE TO GIVE PROPER PROFESSIONAL RESPONSE TO THE INCREASE OF VOLUME OF WORK IN YOUR ARCHITECTURE OFFICE >PARTNERSHIPS AND CO-AUTHORSHIPS ARE PART OF OUR VISION AND APPROACH TO ARCHITECTURE HOW OUR OFFICE OFFERS TO ALL OUR CLIENTS THE GUARANTEE THAT: > PROJECTS ARE DEVELOPED BY EXPERIENCED PROFESSIONALS > DEADLINES ARE STRICTLY ADHERED TO > YOU GET APPROPRIATE PERSONALIZED RESPONSE TO EACH PROJECT > CONFIDENTIALITY IS PART OF OUR MODE OF OPERATION WHY > BECAUSE WORK ACCUMULATES, YOU RUN AGAINST TIME AND IN NEED OF IMMEDIATE RESPONSES > BECAUSE YOU DON’T HAVE THE SPECIFIC EXPERIENCE IN YOUR TEAM FOR THE IMPLEMENTATION OF A PARTICULAR PROJECT PHASE > BECAUSE YOU EXPERIENCE IRREGULAR WORK FLOWS AND YOU ARE RELUCTANT TO INCREASE THE NUMBER OF EXPERIENCED PROFESSIONALS IN YOUR CORE TEAM > BECAUSE IT'S IMPORTANT TO KEEP YOUR COMPANY’S OVERHEAD LOW > BECAUSE YOU NEED TO ADAPT TO ALL THESE PARAMETERS THEN, YOU NEED “ANEXO”: WE ATTACH TO YOU!";"Casa Lavra: https://archello.com/project/casa-lavra";"Archello";"https://archello.com/brand/anexo";"Sintra";"2025-11-01T22:53:56.598495"
"André Vieira + Flávio Serpa";"n/a, n/a, Portugal";"";"http://www.behance.net/andre-vieira";"Sintra";"Two friends who made de arhitecture degree together and also making the master degree in Lisbon. While studying and making the course, a project borned. The first place in a govern competition was the oportunity to have the first project become a live. The capacity, the strenght of a young spirit make amazing things happen.";"PopCraft Kiosk | André Vieira + Flávio Serpa: https://archello.com/project/popcraft-kiosk-andre-vieira-flavio-serpa";"Archello";"https://archello.com/brand/andre-vieira-flavio-serpa";"Sintra";"2025-11-01T22:54:13.525720"
"MAT Arquitetura e Interiores";"Rua Henrique Schreck 120, 4450-570 Leça da Palmeira, Porto, Portugal";"";"http://www.mat-arquitetura.com/";"Sintra";"MAT Architecture and Interiors is an architecture and design studio with two offices, the main one located in Leça da Palmeira, Porto, Portugal. Specializing in residential projects, the studio also develops exclusive commercial spaces, always with a strong commitment to originality and the creation of unique environments.
  ...more
read in
Português";"KI.art.music.coffee: https://archello.com/project/kiartmusiccoffee";"Archello";"https://archello.com/brand/mat-arquitetura-e-interiores";"Sintra";"2025-11-01T22:54:27.593240"
"The Lisbon Architecture Triennale";"www.trienaldelisboa.com";"+ 351 21 346 71 94";"http://www.trienaldelisboa.com/";"Sintra";"The Lisbon Architecture Triennale is a non-profit association whose mission is to research, foster and promote architectural thinking and practice. It holds a major forum every three years for the debate, discussion and dissemination of architecture across geographic and disciplinary boundaries.";"VIATICUS PAVILION: https://archello.com/project/viaticus-pavilion";"Archello";"https://archello.com/brand/the-lisbon-architecture-triennale";"Sintra";"2025-11-01T22:54:40.882298"
