"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"The Lisbon Architecture Triennale";"www.trienaldelisboa.com";"+ 351 21 346 71 94";"http://www.trienaldelisboa.com/";"Sintra";"The Lisbon Architecture Triennale is a non-profit association whose mission is to research, foster and promote architectural thinking and practice. It holds a major forum every three years for the debate, discussion and dissemination of architecture across geographic and disciplinary boundaries.";"VIATICUS PAVILION: https://archello.com/project/viaticus-pavilion";"Archello";"https://archello.com/brand/the-lisbon-architecture-triennale";"Sintra";"2025-11-01T22:55:09.546999"
"atelier mais";"Évora, Portugal";"+351962141436";"http://ateliermais.com/";"Sintra";"Atelier Mais is an architectural practice dedicated to the implementation and monitoring of projects and works of architecture, as well as other multidisciplinary projects related to urban planning, design and image.
read in
Português";"Rehabilitation of Municipal Swimming Pool Complex: https://archello.com/project/rehabilitation-of-municipal-swimming-pool-complex";"Archello";"https://archello.com/brand/atelier-mais";"Sintra";"2025-11-01T22:55:28.253709"
