"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"atelier mais";"Évora, Portugal";"+351962141436";"http://ateliermais.com/";"Sintra";"Atelier Mais is an architectural practice dedicated to the implementation and monitoring of projects and works of architecture, as well as other multidisciplinary projects related to urban planning, design and image.
read in
Português";"Rehabilitation of Municipal Swimming Pool Complex: https://archello.com/project/rehabilitation-of-municipal-swimming-pool-complex";"Archello";"https://archello.com/brand/atelier-mais";"Sintra";"2025-11-01T22:49:34.197800"
"The Lisbon Architecture Triennale";"www.trienaldelisboa.com";"+ 351 21 346 71 94";"http://www.trienaldelisboa.com/";"Sintra";"The Lisbon Architecture Triennale is a non-profit association whose mission is to research, foster and promote architectural thinking and practice. It holds a major forum every three years for the debate, discussion and dissemination of architecture across geographic and disciplinary boundaries.";"VIATICUS PAVILION: https://archello.com/project/viaticus-pavilion";"Archello";"https://archello.com/brand/the-lisbon-architecture-triennale";"Sintra";"2025-11-01T22:50:00.551866"
"S3 ARQUITECTOS";"Lisboa, Portugal";"";"http://s3arquitectos.wixsite.com/s3arquitectos";"Sintra";"Architecture, Design and Planning";"Socio-Cultural Center: https://archello.com/project/socio-cultural-center-2";"Archello";"https://archello.com/brand/s3-arquitectos";"Sintra";"2025-11-01T22:50:19.986021"
