"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"Pereira Miguel Arquitectos";"Avenida Praia da Vitória, 1000-245 Lisboa, Portugal";"";"http://www.pm-arq.com/";"Torres Vedras";"Two-partner firm lead by Luis Pereira Miguel and Filipe Martins Correia, PM-ARQ is a Lisbon based studio that develops a sustained practice in the area of Architecture, Urbanism, Design, 3D and architectural research. Its portfolio includes projects of various scales and programs, which go from single-family housing to multi-family housing, through Interior Design, Commercial Spaces, Logistics, Tourism and Rehabilitation. The studio has been finalist or winner in several national and international competitions where they stand out: Honorable Mention TEKTÓNICA PRIZE | VELOCIDADE’04; 2006 Selected for second phase in the international competition “Quartiererplanung Triangel, Competition for Parpan, Switzerland”; 2007, PM-ARQ selected for the top 10 of the Portuguese architects under 40, by the international website www.newitalianblood.com; 2008, First prize in the International ColorsDesigner competition promoted by Poli.design (consortium of the Polytechnic of Milan) and Benetton, among 700 competitors, taking the studio to work for the Benetton Group in stores in Russia and for Sisley on megastore concepts in Italy; 2011, Selected project, best Portuguese team (top 10 in 218 proposals), in the international competition “Cordoba Architects House Competition”, Spain; 2013, Finalist of the National Prize of Architecture in Wood, with the project of single-family dwelling Lot 20; 2015, Casas Caiadas – Best Project Archilovers 2015; 2016, Casas Caiadas, Most Tasteful Renovation, Mocnocle Travel Top 50 Awards.";"Casas Caiadas Open House: https://archello.com/project/casas-caiadas-open-house | L106: https://archello.com/project/l106";"Archello";"https://archello.com/brand/pereira-miguel-arquitectos-2";"Torres Vedras";"2025-11-02T13:38:09.728135"
"hugo monte, arquitecto";"Rua da Costa 57, Vila do Conde, Portugal";"351 934 126 673";"http://www.hugomonte.com/";"Torres Vedras";"";"CASA DA COSTA Guest House: https://archello.com/project/casa-da-costa-guest-house-2 | House BL: https://archello.com/project/house-bl";"Archello";"https://archello.com/brand/hugo-monte-arquitecto";"Torres Vedras";"2025-11-02T13:38:21.407713"
"Costa Lima Arquitectos";"Porto, Portugal";"";"https://www.costalimaarquitectos.com/";"Torres Vedras";"We are a Portuguese architecture firm based in Porto. Since 2005, our interdisciplinary team has been working in architecture, urban planning, real estate development and consulting. We develop projects that range from small-scale refurbishments to macro urban plans, and we are skilled to provide full-service assistance from the early stage of an investment to the finishing of the buildings, including interior design.
read in
Português";"CLA Office: https://archello.com/project/cla-office | Campo Alegre: https://archello.com/project/campo-alegre";"Archello";"https://archello.com/brand/costa-lima-arquitectos";"Torres Vedras";"2025-11-02T13:38:33.153474"
"GLCS Arquitectos Lda.";"Rua 31 de Janeiro, 150, 2ª Tras., Porto, Portugal";"";"http://www.glcs.pt/";"Torres Vedras";"GLCS-Arquitectos – Architecture and Urbanism Atelier, founded in 2001 by Gonçalo Louro (Faro 1971) and Cláudia Santos (Coimbra 1969), graduates of ESAP - Escola Superior Artística do Porto (Porto Higher Education Art School) in 1997. They both develop their professional work complementarily with the academic practise. From their work, a special focus is given to the projects awarded in public competitions and effectively constructed, namely the Renewal of the Virgínia Theatre in Torres Novas (2003), the Renewal of the José Lúcio da Silva Theatre in Leiria (2005) and New Faro Cemetery (2001); co-authored projects in the Renewal of the Aveirense Theatre (2000) and the Fafe Cinema Theatre (2003) and private housing and public equipment projects, highlighting the Lisbon Operational Command Centre for REFER, the Municipal Workshop of Coimbra Theatre and the Aquaculture Research Centre, in Angola. Their work has been presented in conferences, publications as well national and international exhibitions and speakings, such as the WAF - World Architecture Festival, Barcelona (2008); the Cycle of Conferences “Road.To.Wonderland - Young Architects in Portugal”, Porto 2006; Organisation of the “International Seminar on Architecture and Urban Design, Porto/Rotterdam 2001, Porto2001/CESAP, Guest Professor at the “Sensing Mobility Workshop” held at the Rotterdam Academy of Architecture and Urban Design, Holland. Proposals for furniture design and scenography.";"TCFafe: https://archello.com/project/tcfafe | Lisbon Operational Command Centre: https://archello.com/project/lisbon-operational-command-centre";"Archello";"https://archello.com/brand/glcs-arquitectos-lda";"Torres Vedras";"2025-11-02T13:38:45.409882"
"Comoco";"Rua general humberto delgado, 47-A 4º, Coimbra, Portugal";"+35 1239085927";"http://www.comoco.eu/";"Torres Vedras";"COMOCO Arquitectos is an architecture collaborative practice founded in 2001 by Luís Miguel Correia, Nelson Mota and Susana Constantino, all graduated from the Department of Architecture at the University of Coimbra (Portugal). Along with their practice as architects they are also researchers and educators. Luís Miguel Correia is Assistant Professor at the University of Coimbra, Nelson Mota is Assistant Professor at Delft University of Technology, and Susana Constantino was a guest lecturer at the University of Coimbra and the Amsterdam Academy of Architecture.The work developed by COMOCO explores the creative potential of a dialogue between the situation as found and the transformative potential of a design approach aware of its societal context.";"Castelo Novo Castle: https://archello.com/project/castelo-novo-castle | CN Castle: https://archello.com/project/cn-castle";"Archello";"https://archello.com/brand/comoco";"Torres Vedras";"2025-11-02T13:39:05.852107"
"Sena Architects";"Olhão, Faro District, Portugal";"";"https://sena-architects.com/";"Torres Vedras";"Sena Architects is an innovative architectural practice based in Olhão, Portugal. Specialising in contemporary and sustainable architecture with a strong emphasis on rehabilitation.
We look for a timeless and simple architecture which embraces silence; respects the past and Nature. We strive to make simple, well-articulated forms based on the simplicity and beauty of materials and the connection with their surroundings. We believe that the past, tradition, and memories should not be forgotten but incorporated in the future.
We strive to achieve sustainable buildings through simple steps. Starting with a design that fits the location and taking into consideration the environmental conditions there. We use methods that allow maximum efficiency and materials that require little effort to extract, are recycled, or local.
We believe each project is unique and thus approach it with a clear mind, searching for the best solution, without any pre-conceived ideas.
Our clients are the focus of our practice; they are the designers of their life and must be heard. We work side by side, providing guidance and technical support in order to turn your visions into reality.
read in
Português";"Casa Amor: https://archello.com/project/casa-amor | Casa dos Gelados: https://archello.com/project/casa-dos-gelados";"Archello";"https://archello.com/brand/sena-architects";"Torres Vedras";"2025-11-02T13:39:21.368319"
"Orgânica Arq.";"LISBON (Av EUA, 60 - 10º Esq. 1700-177 Lisboa, Portugal)";"";"http://organica.pt/";"Torres Vedras";"O nome “orgânica” vem de “organizar” e “organismo”. O pressuposto é o de uma entidade viva em que diferentes funções são desempenhadas por órgãos diferentes incapazes de se substituírem entre si e que concorrem para a vitalidade do conjunto. Orgânica Arquitectura, formada em 2006, segundo o principio anterior, tem a missão de criar obras de arquitectura a partir da investigação dos programas do cliente, o carâcter do lugar, e a realidade material, por meio de uma organização formal e estética do presente, que responde a perguntas actuais, através da sua utilidade e aparência. A sua práctica atravessa vários programas e escalas; tem origem em concursos públicos, encomendas privadas e parcerias com outros ateliers, e usa princípios e exigências que se norteiam pela qualidade e criatividade. Orgânica Arquitectura entende a obra arquitectónica segundo uma ordem e estrutura regrada pela matéria, capaz de oferecer diversos significados e qualidades sensíveis.";"House in Caramujeira: https://archello.com/project/house-in-caramujeira | Semi-Detached Houses in Calçada dos Mestres: https://archello.com/project/semi-detached-houses-in-calcada-dos-mestres";"Archello";"https://archello.com/brand/organica-arq";"Torres Vedras";"2025-11-02T13:39:33.619168"
