"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"Silverline";"Rua Eirado no 75m, 4410-451 Arcozelo, Portugal";"";"https://www.silver-line.pt/";"Torres Vedras";"Silverline is an architecture and construction studio founded in 2008 by Jorge Prata and Eduardo Soares, based in Vila Nova de Gaia. Rooted in the belief that design and execution should form a single, cohesive process, Silverline delivers integrated solutions through a close collaboration between its architecture and construction teams.
Each project is approached as a unique response to its physical, social, and cultural context, balancing formal precision with functional clarity and emotional depth. The studio engages contemporary challenges by rethinking ways of living and the dialogue between public and private space.
Strategic partnerships — including an ongoing collaboration with Melt81 Studio — enrich Silverline’s design approach, reinforcing its commitment to crafting architectural experiences that are thoughtful, enduring, and human-centered.";"Casa M: https://archello.com/project/casa-m-12";"Archello";"https://archello.com/brand/silverline-2";"Torres Vedras";"2025-11-02T13:50:06.706849"
"Cubic Office";"Largo Infantaria 7, nº 28, leiria, Portugal";"";"";"Torres Vedras";"Cubic Office comprises a team of optical professionals, training and different experiences, but with a collective conception of architecture dignity and environments. Founded in 2008 by two architects (Sandrine MAIA and Susana VENÂNCIO), the sharing of approaches and ideas has been the key to answer a commitment to objectivity and effectiveness. No models or dogmas, in the face of program requests, cultural, social or economic conditions of the project and the client's wishes, the team responds to various challenges, with several alternatives and variety of answers. On this team, creativity and determination manifests itself with rigor and method, in carrying out the idea since its inception to execution, dealing with both the detail as to the fundamental: your satisfaction! O cubicoffice é composto por uma equipa de profissionais de ópticas, formação e experiências diversas, mas com uma concepção colectiva da dignidade da arquitectura e dos ambientes. Fundado em 2008 por duas arquitectas (Sandrine MAIA e Susana VENÂNCIO), a partilha de abordagens e ideias tem sido fundamental para responder a um compromisso de objectividade e eficácia. Sem modelos nem dogmas, frente às solicitações do programa, às condicionantes culturais, sociais ou económicas do projecto e às pretensões do cliente, a equipa responde a diversos desafios, com diversas alternativas e heterogeneidade de respostas. Nesta equipa, a criatividade e determinação manifesta-se com rigor e método, na realização da ideia desde a sua génese até a execução, atendendo tanto ao pormenor como ao fundamental: a sua satisfação!";"Pé do Rio - Restaurante & Café: https://archello.com/project/pe-do-rio-restaurante-cafe";"Archello";"https://archello.com/brand/cubic-office";"Torres Vedras";"2025-11-02T13:50:21.450742"
"Sérgio Miguel Godinho Arquiteto";"Lisboa, Portugal";"+351 969411156";"http://smgarquitecto.com/";"Torres Vedras";"The "" SMG arquitecto "" is an office based in Lisbon, working out studies and architectural projects throughout the country. The architecture that the workshop seeks, is in the unique interpretation of the place, as a space of confluence of disparate events. In interpreting local cultures, which do not add up these - are subsequently blended, alter, reshape itself. It plays here, the analog territory to a text, need to be modified, created or deleted, but the content can also be modified, projecting out of fixed assumptions, preconceptions or stereotypes. Projects into that particular tectonic win a guest character in a certain place. Things happen, take place, which is the spacing of what happens. Hospitality takes place, it happens, it can happen without connection to a city, a specific and identifiable location. The architecture takes place, and take place, it is time to have happen. The design witness the birth of a new world. The form of witness is the touch - the design touch the world, these endless worlds in fermentation.";"Casa FG 30: https://archello.com/project/casa-fg-30";"Archello";"https://archello.com/brand/sergio-miguel-godinho-arquiteto";"Torres Vedras";"2025-11-02T13:50:34.281893"
"hoffice | Property Advisors";"Rua da Alegria, 1714C H62, Porto, Portugal";"+351 934108791";"https://hoffice.wordpress.com/";"Torres Vedras";"hoffice is a brand that labels different areas of intervention where the architecture is the common denominator. Real estate consulting and assessment, sustainable construction and clean energy are other aspects that define the scope hoffice. I'm an architect, design, evaluate, build and administer buildings.";"Oporto Loft | The Nest: https://archello.com/project/oporto-loft-the-nest";"Archello";"https://archello.com/brand/hoffice-property-advisors";"Torres Vedras";"2025-11-02T13:50:46.646779"
