"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"L CAS - ARQUITECTURA";"Largo Dr. Passos Vella 9, Cascais, Portugal";"+351 214814451";"http://www.lcas.pt/";"Torres Vedras";"L CAS' Architecture mission  is to create unforgettable spaces
read in
Deutsch
Português";"";"Archello";"https://archello.com/brand/l-cas-arquitectura";"Torres Vedras";"2025-11-02T13:58:26.737043"
"OPENLAB architects";"Rua Rodrigues Faria, 103 , lisboa, Portugal";"00351 963195138";"https://openlab-architects.com/";"Torres Vedras";"The OPENLAB architects is a multidisciplinary laboratory for the development of ideas in the fields of architecture, interiors and design that offers support to its customers from the initial conception to the final execution of the projects. The practice got an award from World Architecture Awards, was published internationally and was invited for the conference cycle ‘Jovens arquitectos premiados internacionalmente’ a joint initiative of the Portuguese Architects Order and MUDE, the Lisbon based Museum of Design and Fashion.";"";"Archello";"https://archello.com/brand/openlab-architects";"Torres Vedras";"2025-11-02T13:58:36.995948"
