"company_name";"address";"phone";"website";"municipality";"general_summary";"portfolio";"data_source";"company_url";"scraped_city";"scraped_at"
"hugo monte, arquitecto";"Rua da Costa 57, Vila do Conde, Portugal";"351 934 126 673";"http://www.hugomonte.com/";"Cascais";"";"CASA DA COSTA Guest House: https://archello.com/project/casa-da-costa-guest-house-2 | House BL: https://archello.com/project/house-bl";"Archello";"https://archello.com/brand/hugo-monte-arquitecto";"Cascais";"2025-11-02T01:11:23.599108"
"Costa Lima Arquitectos";"Porto, Portugal";"";"https://www.costalimaarquitectos.com/";"Cascais";"We are a Portuguese architecture firm based in Porto. Since 2005, our interdisciplinary team has been working in architecture, urban planning, real estate development and consulting. We develop projects that range from small-scale refurbishments to macro urban plans, and we are skilled to provide full-service assistance from the early stage of an investment to the finishing of the buildings, including interior design.
read in
Português";"CLA Office: https://archello.com/project/cla-office | Campo Alegre: https://archello.com/project/campo-alegre";"Archello";"https://archello.com/brand/costa-lima-arquitectos";"Cascais";"2025-11-02T01:11:44.448837"
"Sena Architects";"Olhão, Faro District, Portugal";"";"https://sena-architects.com/";"Cascais";"Sena Architects is an innovative architectural practice based in Olhão, Portugal. Specialising in contemporary and sustainable architecture with a strong emphasis on rehabilitation.
We look for a timeless and simple architecture which embraces silence; respects the past and Nature. We strive to make simple, well-articulated forms based on the simplicity and beauty of materials and the connection with their surroundings. We believe that the past, tradition, and memories should not be forgotten but incorporated in the future.
We strive to achieve sustainable buildings through simple steps. Starting with a design that fits the location and taking into consideration the environmental conditions there. We use methods that allow maximum efficiency and materials that require little effort to extract, are recycled, or local.
We believe each project is unique and thus approach it with a clear mind, searching for the best solution, without any pre-conceived ideas.
Our clients are the focus of our practice; they are the designers of their life and must be heard. We work side by side, providing guidance and technical support in order to turn your visions into reality.
read in
Português";"Casa Amor: https://archello.com/project/casa-amor | Casa dos Gelados: https://archello.com/project/casa-dos-gelados";"Archello";"https://archello.com/brand/sena-architects";"Cascais";"2025-11-02T01:12:01.251128"
"GLCS Arquitectos Lda.";"Rua 31 de Janeiro, 150, 2ª Tras., Porto, Portugal";"";"http://www.glcs.pt/";"Cascais";"GLCS-Arquitectos – Architecture and Urbanism Atelier, founded in 2001 by Gonçalo Louro (Faro 1971) and Cláudia Santos (Coimbra 1969), graduates of ESAP - Escola Superior Artística do Porto (Porto Higher Education Art School) in 1997. They both develop their professional work complementarily with the academic practise. From their work, a special focus is given to the projects awarded in public competitions and effectively constructed, namely the Renewal of the Virgínia Theatre in Torres Novas (2003), the Renewal of the José Lúcio da Silva Theatre in Leiria (2005) and New Faro Cemetery (2001); co-authored projects in the Renewal of the Aveirense Theatre (2000) and the Fafe Cinema Theatre (2003) and private housing and public equipment projects, highlighting the Lisbon Operational Command Centre for REFER, the Municipal Workshop of Coimbra Theatre and the Aquaculture Research Centre, in Angola. Their work has been presented in conferences, publications as well national and international exhibitions and speakings, such as the WAF - World Architecture Festival, Barcelona (2008); the Cycle of Conferences “Road.To.Wonderland - Young Architects in Portugal”, Porto 2006; Organisation of the “International Seminar on Architecture and Urban Design, Porto/Rotterdam 2001, Porto2001/CESAP, Guest Professor at the “Sensing Mobility Workshop” held at the Rotterdam Academy of Architecture and Urban Design, Holland. Proposals for furniture design and scenography.";"TCFafe: https://archello.com/project/tcfafe | Lisbon Operational Command Centre: https://archello.com/project/lisbon-operational-command-centre";"Archello";"https://archello.com/brand/glcs-arquitectos-lda";"Cascais";"2025-11-02T01:12:16.186018"
"Comoco";"Rua general humberto delgado, 47-A 4º, Coimbra, Portugal";"+35 1239085927";"http://www.comoco.eu/";"Cascais";"COMOCO Arquitectos is an architecture collaborative practice founded in 2001 by Luís Miguel Correia, Nelson Mota and Susana Constantino, all graduated from the Department of Architecture at the University of Coimbra (Portugal). Along with their practice as architects they are also researchers and educators. Luís Miguel Correia is Assistant Professor at the University of Coimbra, Nelson Mota is Assistant Professor at Delft University of Technology, and Susana Constantino was a guest lecturer at the University of Coimbra and the Amsterdam Academy of Architecture.The work developed by COMOCO explores the creative potential of a dialogue between the situation as found and the transformative potential of a design approach aware of its societal context.";"Castelo Novo Castle: https://archello.com/project/castelo-novo-castle | CN Castle: https://archello.com/project/cn-castle";"Archello";"https://archello.com/brand/comoco";"Cascais";"2025-11-02T01:12:35.588532"
"Barbas Lopes Arquitectos";"Lisboa, Portugal";"";"http://www.barbaslopes.com/";"Cascais";"Patrícia Barbas and Diogo Lopes work in partnership since 2003 and established their office in 2006. Realised projects or under development include public and private buildings, single-family housing, exhibition designs, and interiors. The practice is also engaged in collaborations with architects such as Peter Märkli and Gonçalo Byrne.";"House in Benavente/ House ML: https://archello.com/project/house-in-benavente-house-ml | Thalia Theatre: https://archello.com/project/thalia-theatre";"Archello";"https://archello.com/brand/barbas-lopes-arquitectos";"Cascais";"2025-11-02T01:12:52.322446"
"Humberto Conde Arquitectos";"Carnaxide, Portugal";"";"https://humbertoconde.com/";"Cascais";"Humberto Conde, Architect, was born in 1968 in Lisbon. Graduated in Architecture by Lusíada University in Lisbon in 1993, between 1989 and 1993 in the academic period, collaborates with several offices such as Oficina de Arquitectura with Architect Delfim Canas, Arqui3 with Architects Pedro Frasco and Luís Torres, Atelier da Cidade with Architect Mota Carvalho, and José Tomás . In 1993 begins self employed activity. In 1998 he founds “HRA – Lisboa, Humberto Conde Realizações de Arquitectura, Sociedade Unipessoal, Lda”, developing projects of various kinds, the most important being: Housing, Retail, Services and Hotel Unit with 200 rooms in Campo Pequeno, Lisboa; Housing and Services “Estoril 153”; Housing “Terraços de Cascais”; Urban planning and Housing Project “Quinta Vale Verde” in Bicesse, Cascais; Student Residence for the Polytechnic Institute of Santarém; Headquarters of Rehabilitation Society in Lisbon “Sociedade de Reabilitação Urbana da Lisboa Ocidental; Housing, Retail and Services “Amadora XXI”; Swimming Pools and Rooms Activities Centre “Carcavelos XXI “. Some of these works are published in various magazines and websites, national and international, with some projects having received particular exposure in some publications. In 2006 wins the award for Best Retail Development with the project Housing “Estoril 153”, promoted by the magazine “Revista Imobiliária”. In 2007 classifies in the 4th place in a Limited Competition for the Elaboration of the Project and Construction of the new Servives Headquarters of City Council of Loures, in partnership with Architect Rolf Reichert. In 2010 is the third classified in the International Competition for the New Museum of Water in Oeiras – “Museu Água Vida”. In 2011 is also ranked in 3rd place in the Public Design Competition for the Carnival Arts Centre in Torres Vedras. In 2013, receives an Honorable Mention at a International level with the Competition “[PACIFIC] Ocean Platform Prison” AC-CA , with the proposal “Outsiders.In”. This competition promoted the debate on the development of spatial and sociological concept of imprisonment, with the particularity of having the premise that the location was in the middle of the Pacific Ocean, 20 to 30 km from an Asian, Australian or American coast. In the same year, wins the 2nd place in the International Competition – Archtriumph – for an Exhibition Pavillion in Venice and also receives an Honorable Mention in the International Competition in Amsterdam LIBO – Living in Borneo – AWR Competitions. In 2015 is awarded in the second edition of the prize “Second Baku International Architecture Award” with two distinctions; Second Place for “Ocean Prison Outsiders.in” – project non realised – and third place with Residential Building “Terraços de Cascais”.
...more";"Correnteza 19-21: https://archello.com/project/correnteza-19-21 | Single Family House in Carnaxide: https://archello.com/project/single-family-house-in-carnaxide";"Archello";"https://archello.com/brand/humberto-conde-arquitectos";"Cascais";"2025-11-02T01:13:10.262339"
"Orgânica Arq.";"LISBON (Av EUA, 60 - 10º Esq. 1700-177 Lisboa, Portugal)";"";"http://organica.pt/";"Cascais";"O nome “orgânica” vem de “organizar” e “organismo”. O pressuposto é o de uma entidade viva em que diferentes funções são desempenhadas por órgãos diferentes incapazes de se substituírem entre si e que concorrem para a vitalidade do conjunto. Orgânica Arquitectura, formada em 2006, segundo o principio anterior, tem a missão de criar obras de arquitectura a partir da investigação dos programas do cliente, o carâcter do lugar, e a realidade material, por meio de uma organização formal e estética do presente, que responde a perguntas actuais, através da sua utilidade e aparência. A sua práctica atravessa vários programas e escalas; tem origem em concursos públicos, encomendas privadas e parcerias com outros ateliers, e usa princípios e exigências que se norteiam pela qualidade e criatividade. Orgânica Arquitectura entende a obra arquitectónica segundo uma ordem e estrutura regrada pela matéria, capaz de oferecer diversos significados e qualidades sensíveis.";"House in Caramujeira: https://archello.com/project/house-in-caramujeira | Semi-Detached Houses in Calçada dos Mestres: https://archello.com/project/semi-detached-houses-in-calcada-dos-mestres";"Archello";"https://archello.com/brand/organica-arq";"Cascais";"2025-11-02T01:13:27.629651"
"Arquitecto.pt";"Faro, Portugal";"";"http://www.arquitecto.pt/";"Cascais";"Edgar Soares Architect
read in
Português";"Flesk Telecom Headquarters and Datacenter: https://archello.com/project/flesk-telecom-headquarters-and-datacenter | Casa da Fonte Quente: https://archello.com/project/casa-da-fonte-quente";"Archello";"https://archello.com/brand/arquitectopt";"Cascais";"2025-11-02T01:13:44.276700"
