company_name;address;phone;website;municipality;general_summary;portfolio;data_source;company_url;scraped_city;scraped_page;scraped_at
"STGO";"St. Real 217 Bajo, Ferrol, A Coruña, Portugal";"+0034-881-122-991";"http://www.stgo.es/";"Vila Franca de Xira";"WE DEVELOP GLOBAL ARCHITECTURE A place to live, a franchiseable commercial space or a work space with identity ; all of them require a project that generates added value and merges to give rise to an integral action. We develop architecture in a global way, conceived as an indivisible whole, carrying out projects from urban scale to commercial or residential interior design . UNIQUE OBJECTIVE: THE FINAL RESULT Our premises, work directly with our clients for the same objective, the final result. We start our work from the real estate analysis , through the architecture project to the execution of the work ; supporting the set with the distribution of furniture and design items of the main firms in our contract projects .";"Inés Pose Lifestyle Salon: https://archello.com/project/ines-pose-lifestyle-salon";"Archello";"https://archello.com/brand/stgo";"Vila_Franca_de_Xira";"28";"2025-11-01T17:45:51.042Z"
"S3 ARQUITECTOS";"Lisboa, Portugal";"";"http://s3arquitectos.wixsite.com/s3arquitectos";"Vila Franca de Xira";"Architecture, Design and Planning";"Socio-Cultural Center: https://archello.com/project/socio-cultural-center-2";"Archello";"https://archello.com/brand/s3-arquitectos";"Vila_Franca_de_Xira";"28";"2025-11-01T17:45:52.989Z"
"Alvaro Fernandes Andrade";"n/a, Portugal";"";"";"Vila Franca de Xira";"spacialAR-TE is an architecture, urbanism, planning and design company based in Porto, Portugal, and acting globally with partnerships with AIX3 and mpt";"Rowing High Performance Centre in Pocinho: https://archello.com/project/rowing-high-performance-centre-in-pocinho";"Archello";"https://archello.com/brand/alvaro-fernandes-andrade";"Vila_Franca_de_Xira";"28";"2025-11-01T17:45:54.934Z"
