company_name;address;phone;website;municipality;general_summary;portfolio;data_source;company_url;scraped_city;scraped_page;scraped_at
"ricardo granja | arquitecto";"VN Gaia, Portugal";"";"http://www.ricardogranja.com";"Vila Franca de Xira";"Born in Porto in 1974, completing a Master in Architecture in the University Lusíada of Porto in 2003. Admitted to the Order of Architects since 2003 with the member’s number 12765N. Worked with Paula Santos - Architecture Office from 2000 to 2010. ricardo granja | architect, carries a business as an author since 2000 and as liberal professional since 2003 and has been developing various studies and projects in different fields of architecture, based on principles of continuous reflection on the fundamental models of architecture. The methodology of work is a constant concern in the various phases of a project from the initial design to the construction and it is based on the coordination between technicians and authors from various areas, guaranteeing a broad plural and concerted vision of all inter-related issues in all the phases of each project.";"P1: https://archello.com/project/p1 | E1: https://archello.com/project/e1";"Archello";"https://archello.com/brand/ricardo-granja-arquitecto";"Vila_Franca_de_Xira";"16";"2025-11-01T17:39:54.173Z"
"Utopia";"Porto, Portugal";"222413787";"http://www.utopia-projectos.com";"Vila Franca de Xira";"We create inspiring projects based on a team where every architect and engineer draws next to you. The company is based in Porto but has developed architectural and engineering projects in Portugal and abroad. We have a history of works of more than a decade where innovation, technical detail and budgetary rigor have always built new aesthetics. We develop small and large urban development operations. We design allotment operations and alterations to allotment permits. We develop detailed plans, streets and outdoor spaces including ecological principles in the urban environment with green spaces, cycle paths and sustainable economic strategies. We think renovations of interior spaces with innovative concepts for commercial spaces, hotels, restaurants and homes. We elaborate specifications and detailed details that allow us to control the quality of the execution and to anticipate the deadlines. We carry out brand design and product design work according to innovative strategies that deliver more value to our customers. We design furniture design according to specific objectives and framed in creative strategies of general scope. read in Português";"Reabilitação de edifício histórico no Porto: https://archello.com/project/reabilitacao-de-edificio-historico-no-porto | Concrete House in Portugal: https://archello.com/project/concrete-house-in-portugal";"Archello";"https://archello.com/brand/utopia";"Vila_Franca_de_Xira";"16";"2025-11-01T17:39:56.820Z"
"Miguel Barbosa & Associados - Arquitectos, Lda";"Porto, Portugal";"00351915014210";"https://www.miguelbarbosa.org/";"Vila Franca de Xira";"Miguel Barbosa + Associates is an innovative architecture and urban design office. It has accomplished architectural works with extensive experience inthe arts, campus, and educational facilities, and residential work. Otherprojects include retail design, office design, public utilities, and masterplanning. With each project, the firm explores new ways to integrate anorganized idea with the programmatic and functional essence of abuilding. Rather than imposing a style upon different sites and climates, orpursued irrespective of program, the unique character of a program and a sitebecomes the starting point for an architectural idea. While anchoring each work in its specific site and circumstance, Miguel Barbosa Architects endeavors to obtain a deeper beginning in theexperience of time, space, light, and materials. The phenomena of the space of a room, the sunlight entering through awindow, and the color and reflection of materials on a wall and floor, all haveintegral relationships. The materials communicate through resonance and dissonance, just asinstruments in musical composition, producing thought and sense-provokingqualities in the experience of a place undefined. Extending this approach with ecological innovation, Miguel Barbosa + Associates is recognized for the ability to shapespace and light with great contextual sensitivity and to catalyze the uniquequalities of each project to create a concept-driven design at multiple scales,from minimal dwellings to new hybrid models of urbanism. read in Português";"Consortes House: https://archello.com/project/consortes-house | Moldiflex Factory: https://archello.com/project/moldiflex-factory";"Archello";"https://archello.com/brand/miguel-barbosa-associados-arquitectos-lda";"Vila_Franca_de_Xira";"16";"2025-11-01T17:40:00.233Z"
"MARTINA ARCHITECTURE";"Largo Adelino Amaro da Costa, Lisbon, Portugal";"";"https://www.martinaarch.com/";"Vila Franca de Xira";"Master's in Architecture from the Faculty of Architecture of the University of Porto and the Technical School of Architecture of Barcelona (2004 - 2010). Collaborated with Architect Pedro Magalhães Basto in Porto during the academic journey and with Santiago Vives in Barcelona after completing the studies. Founder of Martina Architecture (2016), continues to this day as a designer, working both individually and occasionally in partnerships with other colleagues. The practice of everyday architecture is developed with the belief that recurrent travels to other cities enhance knowledge and become essential in finding solutions that are contemporary, daring, and capable. ""The space that is left empty is as important as the space that is filled."" - Fernando Távora.";"AC85 - Matosinhos Housing: https://archello.com/project/ac85-matosinhos-housing | AH – Moradia Unifamiliar de Azeitão: https://archello.com/project/ah-moradia-unifamiliar-de-azeitao";"Archello";"https://archello.com/brand/martina-architecture";"Vila_Franca_de_Xira";"16";"2025-11-01T17:40:03.183Z"
"joão nuno macedo, arquitectos";"Avenida da Liberdade, 754, 4º Andar Direito, Sala 2 4710-249 Braga, Portugal";"";"https://www.joaonunomacedo.com/";"Vila Franca de Xira";"joão nuno macedo, arquitectos is a portuguese architecture studio, based in Braga. The practice positions itself between the architecture exercise and the contemporary realities of the user, throughout a negotiation process between the parts until reaching a final result. It´s our belief that more than proposing a finished design of a certain space, the architecture exercise is, fundamentally, to imbue space with the ability to adapt to the needs of the contemporary user with a clear sense of the character of each programmatic space, of its potentialities and care for a human harmonic scale. read in Português";"Casa Monsenhor Airosa: https://archello.com/project/casa-monsenhor-airosa | Santa Cruz: https://archello.com/project/santa-cruz";"Archello";"https://archello.com/brand/joao-nuno-macedo-arquitectos";"Vila_Franca_de_Xira";"16";"2025-11-01T17:40:05.161Z"
"ARQ TAILOR'S";"CHIADO - Rua Nova do Almada 95, 4ºD 1200-228 Lisboa, Portugal";"";"http://arqtailors.pt/";"Vila Franca de Xira";"It is in Lisbon’s prestigious Bairro do Chiado that ARQ TAILOR’S develops its Architecture and Interior Design projects. In a sober and creative style, the tailor made projects signed by ARQ TAILOR´S stand out for their elegance in a unique and timeless style, creating functional and comfortable spaces aligned with the specific needs of individual clients. With a joyful and young team, the studio is known for the subtle blend of refinement and modernity in its projects, designed for both residential and commercial spaces for Portuguese and foreign clients. ARQ TAILOR´S also provides Landscaping and consultancy services in Arts and Antiques, offering its clients a wide range of very exclusive services.";"Sea Front Villa: https://archello.com/project/sea-front-villa | WINE DISTRICT: https://archello.com/project/wine-district";"Archello";"https://archello.com/brand/arq-tailors";"Vila_Franca_de_Xira";"16";"2025-11-01T17:40:07.074Z"
