company_name;address;phone;website;municipality;general_summary;portfolio;data_source;company_url;scraped_city;scraped_page;scraped_at
"LXM - Lisboa & Miroto";"www.lisboamiroto.com";"00351 914014867";"http://www.lisboamiroto.com";"Vila Franca de Xira";"LISBOA & MIROTO – Architectural Solutions Ltd is an entrepreneurial, innovative and creative studio based in Lisbon, Portugal. We have a significant know-how and an extensive track-record on providing services to private and public entities. We focus on design and coordination of small, medium and large architecture projects with rigorous technical/aesthetic complexity in the national and international panorama with an effective strategic design input to our Clients vision. We honed our approach and developed processes to ensure our design has a positive impact on the current market. The focus is to deliver intelligent, responsive and enduring design through a collaborative environment and knowledge-based approach that meets the needs of our Clients. Our understanding of commercial and construction viability combined with a rigorous design review process guarantees that every aspect of a client brief and project development is comprehensively understood and delivered at highest standard.";"Stork Stand: https://archello.com/project/stork-stand";"Archello";"https://archello.com/brand/lxm-lisboa-miroto";"Vila_Franca_de_Xira";"31";"2025-11-01T17:47:10.745Z"
"Pedro Dias";"n/a, n.a., Portugal";"";"http://pedrodias-arquitecto.blogspot.com/";"Vila Franca de Xira";"Pedro Dias Was born in Lisbon, Portugal in 1975. He graduated in 2000 at the Faculty of Architecture of the Lisbon’s Technical University, having been in 1999 an Erasmus exchange student at the Superior Technical School of Architecture del Vallés, in Barcelona (Spain). From 2000 to 2009 he worked, first as an architectural assistant and then as project designer and manager, in several architecture practices from Lisbon (Portugal) and Amsterdam (Holland), all with international recognized and published work. As an independent architect in 2007 he got his 1st prize in an architecture competition and in 2009 he saw the second of his personal projects to be built. Currently he is working and living as an architect in Macau / China.";"Family Tomb in the Açor Mountains: https://archello.com/project/family-tomb-in-the-acor-mountains";"Archello";"https://archello.com/brand/pedro-dias";"Vila_Franca_de_Xira";"31";"2025-11-01T17:47:13.579Z"
"SOTA ARQUITECTURA";"Porto, Portugal";"";"https://www.sotarquitectura.pt/";"Vila Franca de Xira";"SOTA Arquitectura is an architrecture firm founded in 2020 by António Santana, João Paulo Ortigão e José Tavares. We believe in a personalized approach, tailored to the client´s needs and context, focusing on enhancing each project as well as the overall experience.";"FOZ DO DOURO APARTMENT: https://archello.com/project/foz-do-douro-apartment-2";"Archello";"https://archello.com/brand/sota-arquitectura";"Vila_Franca_de_Xira";"31";"2025-11-01T17:47:16.445Z"
